순위,어휘,품사,빈도
1,사람,명사,"62,384"
2,것,의존명사,"41,207"
3,하다,동사,"38,915"
4,있다,형용사,"30,442"
5,나,대명사,"24,118"
6,없다,형용사,"21,733"
7,우리,대명사,"19,204"
8,그,관형사,"17,860"
9,되다,동사,"16,392"
10,수,의존명사,"15,041"
11,나오다,동사,9800
12,그렇다,형용사,9640
13,문제,명사,9480
14,그러나,부사,9320
15,오다,동사,9160
16,알다,동사,9000
17,씨,의존명사,8840
18,그리고,부사,8680
19,소리,명사,8520
20,다시,부사,8360
21,나무,명사,8200
22,학교,명사,8040
23,시간,명사,7880
24,사랑,명사,7720
25,사과,명사,7560
26,어머니,명사,7400
27,아버지,명사,7240
28,친구,명사,7080
29,하늘,명사,6920
30,바다,명사,6760
31,물,명사,6600
32,불,명사,6440
33,산,명사,6280
34,강,명사,6120
35,길,명사,5960
36,집,명사,5800
37,문,명사,5640
38,창문,명사,5480
39,책상,명사,5320
40,의자,명사,5160
41,연필,명사,5160
42,공책,명사,5000
43,가방,명사,4840
44,신발,명사,4680
45,옷,명사,4520
46,모자,명사,4360
47,시계,명사,4200
48,전화,명사,4040
49,컴퓨터,명사,3880
50,자동차,명사,3720
51,자전거,명사,3560
52,기차,명사,3400
53,비행기,명사,3240
54,병원,명사,3080
55,은행,명사,2920
56,시장,명사,2760
57,가게,명사,2600
58,식당,명사,2440
59,공원,명사,2280
60,도서관,명사,2120
61,극장,명사,1960
62,교실,명사,1800
63,선생님,명사,1640
64,학생,명사,1480
65,의사,명사,1320
66,간호사,명사,1160
67,경찰,명사,1000
68,요리사,명사,980
69,음식,명사,960
70,김치,명사,940
71,김치찌개,명사,920
72,된장국,명사,900
73,비빔밥,명사,880
74,불고기,명사,860
75,라면,명사,840
76,과일,명사,820
77,딸기,명사,800
78,포도,명사,780
79,수박,명사,760
80,배추,명사,740
81,양파,명사,720
82,마늘,명사,700
83,감자,명사,680
84,고구마,명사,660
85,강아지,명사,640
86,고양이,명사,620
87,호랑이,명사,600
88,코끼리,명사,580
89,기린,명사,560
90,구름,명사,540
91,바람,명사,520
92,눈사람,명사,500
93,무지개,명사,480
94,아침,명사,460
95,저녁,명사,440
96,주말,명사,420
97,여행,명사,400
98,대한민국,명사,380
99,예쁘다,형용사,360
100,사람,의존명사,340
